path,role,category,profile,format,bytes,width,height,sha256,status
assets/runtime/backgrounds/bg_diplomacy_room_v1--mobile.avif,runtime,background,mobile,avif,46693,720,960,5707238c923d0ce9e24387efc815acd969f050cde5409e1fafec9cb005ab1fc3,optimized
assets/runtime/backgrounds/bg_diplomacy_room_v1--mobile.webp,runtime,background,mobile,webp,85470,720,960,666b71879fd228cdfadf78e30b5898a92f2feef10e291c20a34158e81a685b63,optimized
assets/runtime/backgrounds/bg_economy_financial_center_v1--desktop.avif,runtime,background,desktop,avif,91772,1280,853,213564e16d4db9a861b4320ebd54703477326d4b73c9fd1b3f716cc292262317,optimized
assets/runtime/backgrounds/bg_economy_financial_center_v1--desktop.webp,runtime,background,desktop,webp,169824,1280,853,f48c1a6d523cd721a1a2e0f5d4769ebfbae2ad6b574dae0d17eb5d8df1f4caf9,optimized
assets/runtime/backgrounds/bg_economy_financial_center_v1--mobile.avif,runtime,background,mobile,avif,49286,720,960,16c0258c6c870dd5d3a5d26c66fde35a40b6946dd27fe06856ce6b8387c438ef,optimized
assets/runtime/backgrounds/bg_economy_financial_center_v1--mobile.webp,runtime,background,mobile,webp,94268,720,960,fbed7ae4dcd4ae1c4568b1cfa6bb6510e20dabf5bd4d876d7dc5bf7b69c15dfd,optimized
assets/runtime/backgrounds/bg_election_room_v1--desktop.avif,runtime,background,desktop,avif,88151,1280,853,6d2da9cbfb268309260dcf324a53f41b7bae4736d35844383fd5d83e6547afb3,optimized
assets/runtime/backgrounds/bg_election_room_v1--desktop.webp,runtime,background,desktop,webp,146024,1280,853,ad1c658a95c195f2cdf264dc287e1e939bebb19abcdb5f1986e14fd5b73bce82,optimized
assets/runtime/backgrounds/bg_election_room_v1--mobile.avif,runtime,background,mobile,avif,48122,720,960,fdaab3e80c54252ec73d3670f21bc6a050c1849ad5917239751317a4745644b9,optimized
assets/runtime/backgrounds/bg_election_room_v1--mobile.webp,runtime,background,mobile,webp,78904,720,960,a2abc71bc1122708ef7697d1d9863f6b3b822a50138d14da4304e302de6b6b47,optimized
assets/runtime/backgrounds/bg_global_map_v1--desktop.avif,runtime,background,desktop,avif,88968,1280,853,bb8e025090a9cf2353a376afa7f1b33a1530b9bedd8e97c20864102fce1a453f,optimized
